# BrowserLayout line-break baseline attribution — 2026-08-31
# Diagnostic artifact only; docs/browser-layout/line-break-baseline/redchamber.tsv was not modified.
# golden_lines/before_lines/after_lines are the existing fingerprint text-fragment count, not logical box-line count.
spine	classification	subtype	earliest_provenance	root_x_overlap	root_x_delta_pt	golden_pages	before_pages	after_pages	golden_lines	before_lines	after_lines
1	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
2	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
3	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
4	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	12	12	26	26	26
5	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	16	16	16	30	30	30
6	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	19	19	19	33	33	33
7	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	10	10	10	24	24	24
8	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	15	15	29	29	29
9	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	8	8	8	250	264	264
10	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	5	5	5	123	130	130
11	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	3	3	3	85	88	88
12	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	4	4	4	83	90	90
13	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
14	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
15	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	21	23	23	784	848	848
16	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	2	2	2	36	40	40
17	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	16	16	551	589	589
18	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	7	7
19	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	21	22	22	767	823	823
20	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	14	15	15
21	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	487	517	517
22	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	13	14	14
23	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	26	28	28	925	991	991
24	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	8	8
25	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	463	489	489
26	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	9	9
27	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	14	14	479	502	502
28	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	8	8
29	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	13	13	13	418	442	442
30	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
31	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	12	12	387	414	414
32	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
33	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	9	10	10	299	310	310
34	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
35	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	11	11	360	380	380
36	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
37	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	8	8	8	262	274	274
38	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	6	6	6
39	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	12	12	406	432	432
40	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	12	12	12
41	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	13	13	455	482	482
42	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
43	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	10	10	10	348	364	364
44	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
45	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	15	15	519	540	540
46	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	2	2	2	33	37	37
47	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	40	41	41	1431	1505	1505
48	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	17	18	18
49	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	16	17	17	554	587	587
50	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
51	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	9	10	10	304	313	313
52	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
53	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	13	13	425	451	451
54	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
55	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	18	19	19	613	653	653
56	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
57	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	13	14	14	444	471	471
58	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
59	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	15	15	488	510	510
60	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
61	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	16	16	516	541	541
62	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
63	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	13	13	417	427	427
64	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	8	8
65	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	12	13	13	366	380	380
66	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
67	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	19	20	20	642	686	686
68	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
69	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	16	16	527	553	553
70	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	10	10	10
71	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	10	10	10	332	343	343
72	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	11	11	11
73	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	13	13	13	417	438	438
74	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
75	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	10	10	10	319	331	331
76	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	9	9	9
77	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	9	9	9	273	286	286
78	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
79	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	13	13	13	398	414	414
80	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
81	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	13	13	422	438	438
82	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	9	10	10
83	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	12	12	12	378	400	400
84	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
85	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	21	21	21	666	691	691
86	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
87	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	18	20	20	591	641	641
88	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	9	9
89	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	12	12	374	392	392
90	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	8	8
91	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	19	20	20	654	693	693
92	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
93	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	14	14	14	487	505	505
94	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	9	9
95	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	15	16	16	535	572	572
96	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
97	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	12	13	13	407	433	433
98	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
99	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	12	12	377	393	393
100	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	9	9	9
101	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	16	16	521	554	554
102	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
103	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	14	14	14	456	476	476
104	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
105	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	13	13	423	442	442
106	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	8	8
107	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	442	473	473
108	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
109	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	15	15	504	528	528
110	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	7	7
111	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	24	25	25	718	758	758
112	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	7	7
113	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	16	17	17	586	622	622
114	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
115	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	15	15	15	470	485	485
116	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
117	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	16	17	17	544	575	575
118	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
119	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	16	16	538	565	565
120	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
121	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	438	456	456
122	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
123	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	15	15	487	512	512
124	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
125	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	18	19	19	615	644	644
126	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	12	13	13
127	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	13	13	439	455	455
128	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
129	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	9	9	9	283	295	295
130	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
131	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	13	13	404	424	424
132	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
133	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	17	18	18
134	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	12	12	381	395	395
135	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	12	12	12
136	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	22	23	23	757	786	786
137	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
138	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	22	22	22	753	786	786
139	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	8	8
140	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	19	21	21	667	709	709
141	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	9	9
142	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	12	12	401	425	425
143	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
144	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	9	9	9	283	299	299
145	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	10	10	10
146	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	15	15	463	486	486
147	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	7	7
148	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	13	13	13	410	431	431
149	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	7	7
150	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	12	12	398	411	411
151	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
152	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	14	14	14	452	466	466
153	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
154	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	16	16	16	550	574	574
155	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
156	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	453	471	471
157	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
158	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	15	15	15	498	509	509
159	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	9	9
160	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	19	20	20	666	690	690
161	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
162	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	17	18	18	580	606	606
163	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	7	7
164	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	19	20	20	597	623	623
165	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
166	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	18	19	19	626	658	658
167	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	8	8
168	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	27	28	28	969	1034	1034
169	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	11	12	12
170	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	10	10	10	324	339	339
171	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	10	11	11
172	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	13	13	409	433	433
173	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	12	13	13
174	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	12	12	407	427	427
175	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
176	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	454	473	473
177	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
178	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	14	14	473	491	491
179	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
180	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	13	14	14	444	466	466
